TIME,XACC
0,14.0820922851563
1,-0.410580658160679
2,-0.242707017913879
3,-0.206890064028549
4,0.0395931366160968
5,-0.0163327299273816
6,0.0888816139137233
7,-0.0530524027507083
8,0.0331312738054696
9,-0.16800845754377
10,0.0581837510280161
11,-0.0158369673277906
12,-0.0134080369453504
13,-0.0656812894540216
14,-0.0539464722623069
15,-0.0593809515980685
16,0.00648498535156249
17,-0.0188844866373108
18,-0.0209509799074458
19,-0.00455665088528861
20,-0.0129671641476523
21,-0.0488455312022827
22,-0.0270186787933167
23,-0.0521124375190571
24,-0.00206437927421965
25,-0.0454107751637823
26,-0.0142594108714857
27,-0.0483862628175953
28,-0.0297584628668441
29,-0.0494328775316554
30,-0.0274406176933058
31,-0.0288437855770594
32,0.018951416015625
