TIME,ZACC
0,-62.8296051025391
1,-0.00822318413439195
2,0.0752058314670134
3,0.0360873885455817
4,-0.016655423817252
5,-0.0447787477453765
6,-0.0512740749138716
7,-0.00977146517865975
8,0.056624428189722
9,0.0308626166948968
10,0.0295311487618683
11,-0.0361041972051701
12,-0.0312731333211574
13,0.022853228017832
14,-0.000541902761286652
15,0.0511804310132327
16,0.0157012939453125
17,0.0143785757034118
18,0.0119664562156437
19,-0.00966427310836909
20,-0.00276461109806343
21,-0.0070476251905476
22,0.0163346883812016
23,0.000339803067652982
24,0.00276277884152798
25,-0.0213851402454853
26,-0.00661322188062248
27,0.00393650826292434
28,0.00113262136147285
29,0.0337694672847848
30,-0.00197708933244624
31,-0.00809354203231677
32,-0.0298004150390625
